id,sample_accession,study_accession
ERR046754,SAMEA1019031,PRJEB2221
ERR046755,SAMEA1019011,PRJEB2221
ERR046756,SAMEA1018995,PRJEB2221
ERR046758,SAMEA1018967,PRJEB2221
ERR046759,SAMEA1019212,PRJEB2221
ERR046760,SAMEA1019189,PRJEB2221
ERR046761,SAMEA1019194,PRJEB2221
ERR046762,SAMEA1019267,PRJEB2221
ERR046763,SAMEA1019248,PRJEB2221
ERR046764,SAMEA1019049,PRJEB2221
ERR046765,SAMEA1019064,PRJEB2221
ERR046766,SAMEA1019075,PRJEB2221
ERR046767,SAMEA1018843,PRJEB2221
ERR046768,SAMEA1018857,PRJEB2221
ERR046769,SAMEA1018871,PRJEB2221
ERR046770,SAMEA1018889,PRJEB2221
ERR046771,SAMEA1018907,PRJEB2221
ERR046772,SAMEA1018900,PRJEB2221
ERR046773,SAMEA1018914,PRJEB2221
ERR046775,SAMEA1019002,PRJEB2221
ERR046776,SAMEA1019012,PRJEB2221
ERR046777,SAMEA1018976,PRJEB2221
ERR046778,SAMEA1018983,PRJEB2221
ERR046779,SAMEA1019048,PRJEB2221
ERR046780,SAMEA1019065,PRJEB2221
ERR046781,SAMEA1019022,PRJEB2221
ERR046782,SAMEA1019033,PRJEB2221
ERR046783,SAMEA1019036,PRJEB2221
ERR046784,SAMEA1019171,PRJEB2221
ERR046785,SAMEA1019163,PRJEB2221
ERR046786,SAMEA1019095,PRJEB2221
ERR046788,SAMEA1019088,PRJEB2221
ERR046789,SAMEA1019134,PRJEB2221
ERR046791,SAMEA1019028,PRJEB2221
ERR046792,SAMEA1019041,PRJEB2221
ERR046794,SAMEA1019259,PRJEB2221
ERR046795,SAMEA1019241,PRJEB2221
ERR046796,SAMEA1019217,PRJEB2221
ERR046797,SAMEA1019202,PRJEB2221
ERR046798,SAMEA1019183,PRJEB2221
ERR046799,SAMEA1019179,PRJEB2221
ERR046800,SAMEA1019167,PRJEB2221
ERR046819,SAMEA1019121,PRJEB2221
ERR046820,SAMEA1019110,PRJEB2221
ERR046821,SAMEA1019099,PRJEB2221
ERR046822,SAMEA1019084,PRJEB2221
ERR046823,SAMEA1019014,PRJEB2221
ERR046824,SAMEA1019306,PRJEB2221
ERR046825,SAMEA1019192,PRJEB2221
ERR046831,SAMEA1019052,PRJEB2221
ERR046832,SAMEA1019055,PRJEB2221
ERR046833,SAMEA1018853,PRJEB2221
ERR046834,SAMEA1018838,PRJEB2221
ERR046837,SAMEA1018934,PRJEB2221
ERR046838,SAMEA1018908,PRJEB2221
ERR046839,SAMEA1018896,PRJEB2221
ERR046840,SAMEA1018957,PRJEB2221
ERR046841,SAMEA1018959,PRJEB2221
ERR046842,SAMEA1018912,PRJEB2221
ERR046843,SAMEA1018897,PRJEB2221
ERR046844,SAMEA1018916,PRJEB2221
ERR046845,SAMEA1018863,PRJEB2221
ERR046846,SAMEA1018890,PRJEB2221
ERR046847,SAMEA1018849,PRJEB2221
ERR046849,SAMEA1019050,PRJEB2221
ERR046850,SAMEA1019054,PRJEB2221
ERR046851,SAMEA1018949,PRJEB2221
ERR046852,SAMEA1018963,PRJEB2221
ERR046853,SAMEA1018898,PRJEB2221
ERR046854,SAMEA1018921,PRJEB2221
ERR046855,SAMEA1018864,PRJEB2221
ERR046857,SAMEA1018892,PRJEB2221
ERR046858,SAMEA1018845,PRJEB2221
ERR046859,SAMEA1018856,PRJEB2221
ERR046860,SAMEA1019056,PRJEB2221
ERR046861,SAMEA1019318,PRJEB2221
ERR046862,SAMEA1019300,PRJEB2221
ERR046863,SAMEA1019211,PRJEB2221
ERR046864,SAMEA1019196,PRJEB2221
ERR046865,SAMEA1019266,PRJEB2221
ERR046866,SAMEA1019246,PRJEB2221
ERR046867,SAMEA1019224,PRJEB2221
ERR046869,SAMEA1018925,PRJEB2221
ERR046871,SAMEA1019037,PRJEB2221
ERR046872,SAMEA1019034,PRJEB2221
ERR046873,SAMEA1019047,PRJEB2221
ERR046874,SAMEA1019066,PRJEB2221
ERR046875,SAMEA1018839,PRJEB2221
ERR046876,SAMEA1018855,PRJEB2221
ERR046877,SAMEA1018869,PRJEB2221
ERR046878,SAMEA1018870,PRJEB2221
ERR046879,SAMEA1018886,PRJEB2221
ERR046880,SAMEA1018904,PRJEB2221
ERR046881,SAMEA1019164,PRJEB2221
ERR046882,SAMEA1018994,PRJEB2221
ERR046883,SAMEA1018990,PRJEB2221
ERR046884,SAMEA1019003,PRJEB2221
ERR046885,SAMEA1018969,PRJEB2221
ERR046887,SAMEA1019062,PRJEB2221
ERR046888,SAMEA1019077,PRJEB2221
ERR046889,SAMEA1019067,PRJEB2221
ERR046890,SAMEA1019017,PRJEB2221
ERR046891,SAMEA1019113,PRJEB2221
ERR046893,SAMEA1019080,PRJEB2221
ERR046894,SAMEA1019093,PRJEB2221
ERR046895,SAMEA1019181,PRJEB2221
ERR046897,SAMEA1019151,PRJEB2221
ERR046898,SAMEA1019142,PRJEB2221
ERR046901,SAMEA1019303,PRJEB2221
ERR046903,SAMEA1019184,PRJEB2221
ERR046904,SAMEA1019250,PRJEB2221
ERR046905,SAMEA1019265,PRJEB2221
ERR046907,SAMEA1019155,PRJEB2221
ERR046908,SAMEA1019145,PRJEB2221
ERR046910,SAMEA1019169,PRJEB2221
ERR046911,SAMEA1018884,PRJEB2221
ERR046912,SAMEA1018844,PRJEB2221
ERR046913,SAMEA1018859,PRJEB2221
ERR046914,SAMEA1019315,PRJEB2221
ERR046915,SAMEA1019302,PRJEB2221
ERR046916,SAMEA1019313,PRJEB2221
ERR046917,SAMEA1019293,PRJEB2221
ERR046918,SAMEA1019276,PRJEB2221
ERR046919,SAMEA1019249,PRJEB2221
ERR046920,SAMEA1019229,PRJEB2221
ERR046921,SAMEA1019154,PRJEB2221
ERR046922,SAMEA1019143,PRJEB2221
ERR046923,SAMEA1019146,PRJEB2221
ERR046924,SAMEA1019258,PRJEB2221
ERR046925,SAMEA1018985,PRJEB2221
ERR046926,SAMEA1019058,PRJEB2221
ERR046928,SAMEA1019068,PRJEB2221
ERR046929,SAMEA1019021,PRJEB2221
ERR046930,SAMEA1019032,PRJEB2221
ERR046932,SAMEA1019085,PRJEB2221
ERR046933,SAMEA1019128,PRJEB2221
ERR046936,SAMEA1018943,PRJEB2221
ERR046937,SAMEA1018954,PRJEB2221
ERR046938,SAMEA1018977,PRJEB2221
ERR046939,SAMEA1018968,PRJEB2221
ERR046940,SAMEA1018980,PRJEB2221
ERR046941,SAMEA1018991,PRJEB2221
ERR046942,SAMEA1019008,PRJEB2221
ERR046943,SAMEA1019024,PRJEB2221
ERR046945,SAMEA1019198,PRJEB2221
ERR046946,SAMEA1018948,PRJEB2221
ERR046947,SAMEA1018962,PRJEB2221
ERR046948,SAMEA1018906,PRJEB2221
ERR046949,SAMEA1018923,PRJEB2221
ERR046950,SAMEA1018918,PRJEB2221
ERR046951,SAMEA1018866,PRJEB2221
ERR046952,SAMEA1018883,PRJEB2221
ERR046953,SAMEA1018846,PRJEB2221
ERR046954,SAMEA1018862,PRJEB2221
